monthly_gross_income,statutory_deductions,monthly_net_income,declared_living_expenses,minimum_expense_norm,living_expenses_used,existing_debt_repayments,maintenance_obligations,discretionary_income_before_new_credit,requested_credit_amount,loan_term_months,annual_interest_rate_assumption,proposed_installment,remaining_after_proposed_credit,number_existing_credit_accounts,missed_payments_12m,arrears_amount,defaults_history,employment_months,income_variability_pct,savings_amount,credit_utilisation_pct,affordability_pass,synthetic_risk_probability,faircredit_readiness_score,credit_risk
43088.02,3944.1,39143.92,21497.05,4338.6,21497.05,4189.38,2694.83,10762.66,98541.6,12,0.2235,9239.47,1523.19,1,0,0.0,0,47,15.2,7064.12,43.4,1,0.4759,52,0
6026.02,146.49,5879.53,3130.88,1152.76,3130.88,414.44,390.2,1944.01,11895.62,24,0.263,642.68,1301.33,0,1,0.0,0,46,10.5,857.87,32.5,1,0.4195,58,0
29165.32,1798.91,27366.41,7990.87,3196.94,7990.87,2231.99,0.0,17143.55,86332.74,6,0.302,15682.32,1461.23,0,0,0.0,0,10,19.2,14955.68,28.6,1,0.5557,44,1
16531.76,1186.74,15345.02,8225.4,2093.24,8225.4,3408.19,0.0,3711.43,6625.32,12,0.1786,606.96,3104.47,2,2,0.0,0,49,13.6,46388.53,74.8,1,0.3522,65,1
3938.77,101.58,3837.19,558.07,1011.87,1011.87,571.9,0.0,2253.42,11584.09,24,0.2349,609.54,1643.88,0,2,0.0,0,49,8.8,989.37,60.3,1,0.5758,42,0
71800.89,12509.17,59291.72,32288.44,6376.94,32288.44,15047.94,0.0,11955.34,120000.0,36,0.2171,4564.77,7390.57,7,1,0.0,0,108,11.1,27664.3,46.7,1,0.446,55,1
22229.59,1472.17,20757.42,8027.66,2606.04,8027.66,4202.75,1164.83,7362.18,58699.41,12,0.2322,5528.46,1833.72,1,0,0.0,0,34,6.1,24284.82,51.8,1,0.4296,57,0
47132.5,5879.15,41253.35,12862.89,4670.24,12862.89,6697.81,0.0,21692.65,34681.38,60,0.2081,934.54,20758.11,2,3,0.0,0,38,9.8,64121.88,27.4,1,0.2482,75,0
3902.7,130.22,3772.48,1197.3,1009.43,1197.3,311.29,317.29,1946.6,2839.34,36,0.1743,101.85,1844.75,0,0,0.0,0,62,0.0,1246.45,42.7,1,0.1493,85,0
7006.85,103.56,6903.29,2761.19,1236.0,2761.19,856.47,0.0,3285.63,6137.16,24,0.2453,326.11,2959.52,0,2,0.0,0,8,0.4,2755.1,46.7,1,0.4789,52,0
6674.43,285.57,6388.86,3993.39,1206.08,3993.39,873.86,0.0,1521.61,14196.41,24,0.1813,709.61,812.0,0,2,0.0,0,111,12.1,1636.81,43.7,1,0.4582,54,1
36349.37,3904.9,32444.47,9344.32,3786.03,9344.32,6046.96,558.31,16494.88,87060.64,18,0.2459,5832.18,10662.7,2,0,12791.46,0,22,11.4,10927.74,8.7,1,0.3611,64,0
20018.18,1168.59,18849.59,6932.11,2407.02,6932.11,3249.43,0.0,8668.05,12253.29,24,0.2679,665.03,8003.02,2,2,0.0,0,6,23.0,4973.06,38.9,1,0.413,59,0
40871.7,4239.64,36632.06,18336.85,4156.86,18336.85,6950.91,0.0,11344.3,93599.1,36,0.1453,3223.07,8121.23,1,1,0.0,0,184,18.9,26058.14,71.8,1,0.5056,49,0
10508.05,105.08,10402.97,3676.27,1551.1,3676.27,677.26,0.0,6049.44,27692.53,60,0.2583,826.29,5223.15,0,1,0.0,0,116,15.0,1901.11,27.8,1,0.2326,77,0
7418.36,140.06,7278.3,2268.84,1273.03,2268.84,1224.67,0.0,3784.79,16698.1,24,0.1758,830.24,2954.55,2,2,0.0,0,43,6.2,2343.9,68.8,1,0.5433,46,0
18594.49,1136.06,17458.43,8816.01,2278.88,8816.01,1747.92,1705.44,5189.06,42754.92,48,0.12,1125.9,4063.16,0,2,4292.73,0,70,16.8,4056.48,24.9,1,0.3325,67,0
1970.24,61.75,1908.49,400.0,878.99,878.99,176.71,377.78,475.01,2880.84,36,0.2389,112.86,362.15,0,1,0.0,0,6,7.9,767.72,31.6,1,0.3218,68,1
48044.78,6149.1,41895.68,18616.65,4745.05,18616.65,10649.03,0.0,12630.0,28925.07,36,0.2168,1099.91,11530.09,4,3,0.0,0,17,10.7,45484.44,48.0,1,0.4561,54,0
22050.39,1383.74,20666.65,7846.58,2589.92,7846.58,4955.35,0.0,7864.72,48048.28,36,0.2394,1883.65,5981.07,1,0,0.0,0,23,0.0,6648.69,94.9,1,0.6117,39,1
19082.77,1454.89,17627.88,7484.51,2322.83,7484.51,1154.9,0.0,8988.47,12498.77,6,0.2006,2206.67,6781.8,2,1,0.0,0,17,12.9,7991.7,29.9,1,0.1811,82,1
8468.95,369.95,8099.0,3857.3,1367.59,3857.3,1132.53,0.0,3109.17,9526.85,48,0.1297,255.46,2853.71,1,1,0.0,0,67,11.0,6316.75,62.7,1,0.334,67,0
83981.24,16445.25,67535.99,38112.41,7199.11,38112.41,18657.99,0.0,10765.59,120000.0,18,0.2642,8146.93,2618.66,8,0,0.0,0,71,14.6,189654.25,40.1,1,0.2524,75,0
43448.49,5752.92,37695.57,18138.42,4368.16,18138.42,9076.82,0.0,10480.33,89948.07,18,0.1953,5804.96,4675.37,1,4,9957.76,0,52,11.3,9872.01,84.9,1,0.8656,13,1
38521.2,3420.1,35101.1,14704.2,3964.12,14704.2,5143.72,774.4,14478.78,38436.87,48,0.2831,1346.38,13132.4,2,1,1104.81,0,50,0.0,31950.11,44.9,1,0.2226,78,0
9717.27,210.47,9506.8,1981.97,1479.93,1981.97,2173.02,0.0,5351.81,5282.33,24,0.1823,264.29,5087.52,3,3,0.0,0,47,18.5,2507.79,72.6,1,0.6229,38,1
10755.8,370.56,10385.24,2949.83,1573.4,2949.83,186.64,333.15,6915.62,16655.01,24,0.2812,915.15,6000.47,0,0,0.0,0,37,12.7,8778.68,1.6,1,0.1841,82,0
1339.29,13.88,1325.41,764.88,836.4,836.4,140.48,0.0,348.53,1519.82,24,0.1579,74.26,274.27,0,1,0.0,0,74,22.0,421.71,21.1,1,0.2399,76,0
2354.44,38.92,2315.52,536.85,904.92,904.92,251.84,338.19,820.57,1240.66,6,0.1886,218.3,602.27,0,0,0.0,0,9,0.0,954.47,55.9,1,0.2488,75,0
24200.95,1844.67,22356.28,12085.12,2783.47,12085.12,4042.82,1193.29,5035.05,23017.93,36,0.2047,860.93,4174.12,1,3,0.0,0,47,10.0,5178.33,73.9,1,0.665,34,1
22634.72,1458.96,21175.76,11965.1,2642.5,11965.1,3034.94,752.62,5423.1,48607.52,36,0.2141,1841.6,3581.5,2,2,12862.36,0,21,21.7,72670.49,49.2,1,0.4961,50,1
82945.29,16373.12,66572.17,33012.5,7129.19,33012.5,25972.6,0.0,7587.07,54091.0,36,0.1972,2002.63,5584.44,7,1,0.0,0,43,0.6,28434.38,80.0,1,0.6649,34,1
7108.46,221.97,6886.49,3012.48,1245.14,3012.48,859.46,816.41,2198.14,20334.87,6,0.2958,3687.48,-1489.34,1,1,0.0,0,54,20.7,2441.26,47.3,0,0.9359,6,1
6464.54,64.65,6399.89,3487.67,1187.19,3487.67,1086.2,0.0,1826.02,10482.45,24,0.2313,549.7,1276.32,2,1,0.0,0,54,22.3,603.37,61.2,1,0.6238,38,1
11849.17,307.08,11542.09,3976.68,1671.81,3976.68,627.7,754.07,6183.64,14971.93,24,0.2466,796.49,5387.15,0,0,0.0,0,71,16.1,7230.69,14.5,1,0.1483,85,0
7241.03,196.07,7044.96,2704.96,1257.07,2704.96,237.74,0.0,4102.26,4208.04,48,0.2542,140.52,3961.74,0,0,0.0,0,43,5.4,1395.29,30.0,1,0.1511,85,0
1797.12,18.91,1778.21,1127.16,867.31,1127.16,144.21,0.0,506.84,2547.53,12,0.2732,245.01,261.83,0,0,0.0,0,66,4.5,548.61,50.1,1,0.3563,64,1
16656.44,821.6,15834.84,5300.97,2104.46,5300.97,2254.4,0.0,8279.47,16780.58,12,0.2951,1631.81,6647.66,0,1,0.0,1,22,13.0,900.19,60.2,1,0.6084,39,1
9697.48,488.52,9208.96,4748.53,1478.15,4748.53,795.15,0.0,3665.28,2565.58,48,0.242,83.93,3581.35,0,1,0.0,0,37,18.4,3619.19,52.3,1,0.3742,63,0
18043.95,973.51,17070.44,7059.82,2229.34,7059.82,1374.44,0.0,8636.18,39176.07,18,0.1279,2403.43,6232.75,0,2,923.87,0,57,28.3,2273.52,32.8,1,0.5046,50,1
9744.89,226.25,9518.64,2120.75,1482.42,2120.75,1270.45,0.0,6127.44,5959.63,36,0.2489,236.62,5890.82,1,0,0.0,0,46,16.7,3099.53,44.3,1,0.2887,71,1
35066.94,2953.21,32113.73,12520.27,3680.87,12520.27,7012.87,0.0,12580.59,96962.09,12,0.1358,8686.6,3893.99,1,2,0.0,0,93,5.5,8757.89,89.1,1,0.8085,19,1
24445.33,2099.5,22345.83,12399.9,2805.46,12399.9,1791.05,625.79,7529.09,51626.45,24,0.2468,2747.12,4781.97,1,2,4099.94,1,2,36.3,7008.78,19.9,1,0.6988,30,1
